2026-03-07 18:43:28 | INFO     | __main__ | ============================================================
2026-03-07 18:43:28 | INFO     | __main__ |   APEX SCALPER — STEP 4: EXCEL REPORT
2026-03-07 18:43:28 | INFO     | __main__ | ============================================================
2026-03-07 18:43:28 | INFO     | __main__ |   [1/6] Sheet 1 — Summary Dashboard ...
2026-03-07 18:43:28 | INFO     | __main__ |   [2/6] Sheet 2 — Instrument Performance ...
2026-03-07 18:43:28 | INFO     | __main__ |   [3/6] Sheet 3 — Monthly Returns (Portfolio) ...
2026-03-07 18:43:28 | INFO     | __main__ |   [4/6] Sheet 4 — Monthly Returns (Per Asset) ...
2026-03-07 18:43:28 | INFO     | __main__ |   [5/6] Sheet 5 — Trade Log ...
2026-03-07 18:43:52 | INFO     | __main__ |   [6/6] Sheet 6 — Equity Data ...
2026-03-07 18:43:56 | INFO     | __main__ | ============================================================
2026-03-07 18:43:56 | INFO     | __main__ |   REPORT COMPLETE
2026-03-07 18:43:56 | INFO     | __main__ |   Saved: backtests/reports\APEX_Scalper_Report_—_—_20260307_184354.xlsx
2026-03-07 18:43:56 | INFO     | __main__ | ============================================================
